country,iso3,population,foreign_born,foreign_nationals,irregular_stock,irregular_proxy_overstayers,irregular_proxy_detections,has_2011_core,has_2021_core
Australia,AUS,13/13,13/13,-,-,4/13,-,2/3,2/3
Austria,AUT,13/13,13/13,13/13,1/13,-,13/13,3/3,3/3
Belgium,BEL,13/13,13/13,13/13,-,-,13/13,3/3,3/3
Bulgaria,BGR,13/13,12/13,13/13,-,-,13/13,3/3,3/3
Chile,CHL,13/13,11/13,6/13,5/13,-,-,2/3,3/3
China,CHN,13/13,3/13,2/13,-,-,-,1/3,1/3
Croatia,HRV,13/13,11/13,11/13,-,-,10/13,3/3,3/3
Czech Republic,CZE,13/13,13/13,13/13,1/13,-,13/13,3/3,3/3
Denmark,DNK,13/13,13/13,13/13,-,-,13/13,3/3,3/3
Finland,FIN,13/13,13/13,13/13,-,-,13/13,3/3,3/3
France,FRA,13/13,13/13,13/13,4/13,-,13/13,3/3,3/3
Germany,DEU,13/13,13/13,13/13,4/13,-,13/13,3/3,3/3
Hungary,HUN,13/13,13/13,13/13,-,-,13/13,3/3,3/3
Iceland,ISL,13/13,13/13,13/13,-,-,4/13,3/3,3/3
India,IND,13/13,4/13,-,-,-,-,2/3,1/3
Israel,ISR,13/13,13/13,-,2/13,-,-,2/3,2/3
Italy,ITA,13/13,13/13,13/13,9/13,-,13/13,3/3,3/3
Japan,JPN,13/13,-,13/13,-,12/13,-,2/3,2/3
Korea (South),KOR,13/13,3/13,13/13,-,10/13,-,2/3,2/3
Lithuania,LTU,13/13,13/13,13/13,-,-,13/13,3/3,3/3
Mexico,MEX,13/13,8/13,12/13,-,-,6/13,3/3,2/3
Netherlands,NLD,13/13,13/13,13/13,6/13,-,13/13,3/3,3/3
New Zealand,NZL,13/13,5/13,-,-,7/13,-,1/3,1/3
Norway,NOR,13/13,13/13,13/13,-,-,13/13,3/3,3/3
Philippines,PHL,13/13,3/13,2/13,-,-,-,1/3,1/3
Poland,POL,13/13,13/13,13/13,-,-,13/13,3/3,3/3
Portugal,PRT,13/13,13/13,13/13,-,-,13/13,3/3,3/3
Russia,RUS,13/13,3/13,-,1/13,-,-,1/3,1/3
Slovak Republic,SVK,13/13,13/13,13/13,-,-,13/13,3/3,3/3
Slovenia,SVN,13/13,13/13,13/13,-,-,13/13,3/3,3/3
South Africa,ZAF,13/13,6/13,-,-,-,-,2/3,1/3
Spain,ESP,13/13,13/13,13/13,6/13,-,13/13,3/3,3/3
Suriname,SUR,13/13,4/13,1/13,-,-,-,1/3,1/3
Sweden,SWE,13/13,13/13,13/13,-,-,13/13,3/3,3/3
Switzerland,CHE,13/13,12/13,13/13,2/13,-,13/13,3/3,3/3
Taiwan,TWN,13/13,-,11/13,-,12/13,-,1/3,2/3
Thailand,THA,13/13,3/13,1/13,-,-,-,1/3,1/3
Turkey,TUR,13/13,9/13,13/13,-,-,8/13,2/3,3/3
United Kingdom,GBR,13/13,12/13,12/13,1/13,-,10/13,3/3,3/3
United States,USA,13/13,13/13,13/13,13/13,-,-,3/3,3/3
"Cell values are the count of years 2010-2022 with a figure. ""has_2011/2021_core"" counts how many of population, foreign_born and foreign_nationals are present in that year.",,,,,,,,,
