country,iso3,year,variable,value,value_pct_pop,estimate_rank_in_cell,source_name,source_url,notes
Australia,AUS,2010,irregular_proxy_overstayers,53900,0.00244646929998752,PANEL PRIMARY,"ANU Press, A Long Way to Go, Chapter 2, Table 2.3 Estimated size of irregular migrant populations by region/country",https://press-files.anu.edu.au/downloads/press/n4016/html/ch02.xhtml,"estimated irregular migrant population of Australia (visa overstayers / unlawful non-citizens in the community) for 2010. Table 2.3 source note (l): 'Department of Immigration and Border Protection (DIBP) (2010).' The DIAC/DIBP overstayer estimate is published as at 30 June, but the ANU table states the year only and does not restate the within-year reference date."
Australia,AUS,2011,irregular_proxy_overstayers,58400,0.00261414222294479,PANEL PRIMARY,"ANU Press, A Long Way to Go, Chapter 2, Table 2.3 Estimated size of irregular migrant populations by region/country",https://press-files.anu.edu.au/downloads/press/n4016/html/ch02.xhtml,"estimated irregular migrant population of Australia (visa overstayers / unlawful non-citizens in the community) for 2011. Table 2.3 source note (m): 'Australian National Audit Office (ANAO) (2013), p. 39.' The DIAC/DIBP overstayer estimate is published as at 30 June, but the ANU table states the year only and does not restate the within-year reference date."
Australia,AUS,2011,irregular_proxy_overstayers,22660,0.00101432299267002,alternative 1,"Australian Department of Immigration and Citizenship (2012), Trends in Migration: Australia 2010-11, Table 11",https://www.homeaffairs.gov.au/research-and-stats/files/trends-in-migration-2010-11.pdf,"ALTERNATIVE ESTIMATE for 30 June 2011: official estimate of unlawful non-citizens, rounded, excluding people in immigration detention. This is a NARROWER measure than the 58,400 visa-overstayer figure also recorded for AUS 2011; the two are not contradictory. Taken from an independently compiled comparison dataset; not independently re-verified."
Australia,AUS,2015,irregular_proxy_overstayers,62000,0.0026032924511447,PANEL PRIMARY,"Australian Department of Immigration and Border Protection (2016), Annual Report 2015-16, p.51",https://www.homeaffairs.gov.au/reports-and-pubs/Annualreports/dibp-annual-report-2015-16.pdf,Unlawful non-citizens in the community at 30 June 2015. DIFFERENT MEASURE from the visa-overstayer estimates recorded for AUS 2010/2011/2016: 'unlawful non-citizens in the community' excludes people in immigration detention. Taken from an independently compiled comparison dataset; not independently re-verified.
Australia,AUS,2016,irregular_proxy_overstayers,64600,0.00267042488320095,PANEL PRIMARY,"Australian Department of Immigration and Border Protection, Senate Legal and Constitutional Affairs Committee, Budget Estimates Question on Notice BE17171",https://www.aph.gov.au/~/media/Committees/legcon_ctte/estimates/bud_1718/DIBP/QoNs/BE17171.pdf,Reference date 30 June 2016. Departmental estimate of unlawful non-citizens (visa overstayers) in the Australian community; register-derived estimate rather than a survey model.
Austria,AUT,2010,irregular_proxy_detections,15220,0.00181983316840846,PANEL PRIMARY,"Eurostat, Third country nationals found to be illegally present (migr_eipre)",https://ec.europa.eu/eurostat/databrowser/view/migr_eipre/default/table,"Eurostat enforcement statistic - annual flow of detections, NOT a stock. Dataset migr_eipre, dimensions freq=A citizen=TOTAL reason=TOTAL apprehen=TOTAL sex=T age=TOTAL unit=PER. Rounded to nearest 5 by Eurostat."
Austria,AUT,2011,irregular_proxy_detections,20080,0.00239285679812642,PANEL PRIMARY,"Eurostat, Third country nationals found to be illegally present (migr_eipre)",https://ec.europa.eu/eurostat/databrowser/view/migr_eipre/default/table,"Eurostat enforcement statistic - annual flow of detections, NOT a stock. Dataset migr_eipre, dimensions freq=A citizen=TOTAL reason=TOTAL apprehen=TOTAL sex=T age=TOTAL unit=PER. Rounded to nearest 5 by Eurostat."
Austria,AUT,2012,irregular_proxy_detections,23135,0.00274436829173365,PANEL PRIMARY,"Eurostat, Third country nationals found to be illegally present (migr_eipre)",https://ec.europa.eu/eurostat/databrowser/view/migr_eipre/default/table,"Eurostat enforcement statistic - annual flow of detections, NOT a stock. Dataset migr_eipre, dimensions freq=A citizen=TOTAL reason=TOTAL apprehen=TOTAL sex=T age=TOTAL unit=PER. Rounded to nearest 5 by Eurostat."
Austria,AUT,2013,irregular_proxy_detections,25960,0.00306138465390138,PANEL PRIMARY,"Eurostat, Third country nationals found to be illegally present (migr_eipre)",https://ec.europa.eu/eurostat/databrowser/view/migr_eipre/default/table,"Eurostat enforcement statistic - annual flow of detections, NOT a stock. Dataset migr_eipre, dimensions freq=A citizen=TOTAL reason=TOTAL apprehen=TOTAL sex=T age=TOTAL unit=PER. Rounded to nearest 5 by Eurostat."
Austria,AUT,2014,irregular_proxy_detections,33055,0.00386773029347245,PANEL PRIMARY,"Eurostat, Third country nationals found to be illegally present (migr_eipre)",https://ec.europa.eu/eurostat/databrowser/view/migr_eipre/default/table,"Eurostat enforcement statistic - annual flow of detections, NOT a stock. Dataset migr_eipre, dimensions freq=A citizen=TOTAL reason=TOTAL apprehen=TOTAL sex=T age=TOTAL unit=PER. Rounded to nearest 5 by Eurostat."
Austria,AUT,2015,irregular_proxy_detections,86220,0.00997605030558162,PANEL PRIMARY,"Eurostat, Third country nationals found to be illegally present (migr_eipre)",https://ec.europa.eu/eurostat/databrowser/view/migr_eipre/default/table,"Eurostat enforcement statistic - annual flow of detections, NOT a stock. Dataset migr_eipre, dimensions freq=A citizen=TOTAL reason=TOTAL apprehen=TOTAL sex=T age=TOTAL unit=PER. Rounded to nearest 5 by Eurostat."
Austria,AUT,2016,irregular_proxy_detections,49810,0.00570125819133793,PANEL PRIMARY,"Eurostat, Third country nationals found to be illegally present (migr_eipre)",https://ec.europa.eu/eurostat/databrowser/view/migr_eipre/default/table,"Eurostat enforcement statistic - annual flow of detections, NOT a stock. Dataset migr_eipre, dimensions freq=A citizen=TOTAL reason=TOTAL apprehen=TOTAL sex=T age=TOTAL unit=PER. Rounded to nearest 5 by Eurostat."
Austria,AUT,2017,irregular_proxy_detections,26660,0.00303038363110888,PANEL PRIMARY,"Eurostat, Third country nationals found to be illegally present (migr_eipre)",https://ec.europa.eu/eurostat/databrowser/view/migr_eipre/default/table,"Eurostat enforcement statistic - annual flow of detections, NOT a stock. Dataset migr_eipre, dimensions freq=A citizen=TOTAL reason=TOTAL apprehen=TOTAL sex=T age=TOTAL unit=PER. Rounded to nearest 5 by Eurostat."
