country,iso3,variable,value_2011,source_2011,nearest_year_to_2011,nearest_value_to_2011,value_2021,source_2021,nearest_year_to_2021,nearest_value_to_2021
Australia,AUS,population,22340024,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",,,25685412,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",,
Australia,AUS,foreign_born,6018180,"OECD International Migration Database (stocks of foreign-born population, measure B14)",,,7525860,"OECD International Migration Database (stocks of foreign-born population, measure B14)",,
Australia,AUS,foreign_nationals,,,,,,,,
Austria,AUT,population,8391643,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",,,8955797,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",,
Austria,AUT,foreign_born,1294224,Eurostat [migr_pop3ctb],,,1792053,Eurostat [migr_pop3ctb],,
Austria,AUT,foreign_nationals,908591,Eurostat [migr_pop1ctz],,,1517372,Eurostat [migr_pop1ctz],,
Belgium,BEL,population,11038264,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",,,11586195,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",,
Belgium,BEL,foreign_born,1628793,Eurostat [migr_pop3ctb],,,2065727,Eurostat [migr_pop3ctb],,
Belgium,BEL,foreign_nationals,1162608,Eurostat [migr_pop1ctz],,,1454039,Eurostat [migr_pop1ctz],,
Bulgaria,BGR,population,7348328,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",,,6507301,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",,
Bulgaria,BGR,foreign_born,78621,Eurostat [migr_pop3ctb],,,188519,Eurostat [migr_pop3ctb],,
Bulgaria,BGR,foreign_nationals,38815,Eurostat [migr_pop1ctz],,,108438,Eurostat [migr_pop1ctz],,
Chile,CHL,population,17351816,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",,,19456334,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",,
Chile,CHL,foreign_born,369436,"OECD International Migration Database (stocks of foreign-born population, measure B14)",,,1534813,"OECD International Migration Database (stocks of foreign-born population, measure B14)",,
Chile,CHL,foreign_nationals,,,2017,746465,1630812,"OECD International Migration Database (stocks of foreign population, measure B15)",,
China,CHN,population,1345035000,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",,,1412360000,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",,
China,CHN,foreign_born,,,2010,1010008,,,2020,1415116
China,CHN,foreign_nationals,,,2010,593832,,,2020,845697
Croatia,HRV,population,4280622,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",,,3878981,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",,
Croatia,HRV,foreign_born,584947,"Croatian Bureau of Statistics, Census 2011",,,478056,Eurostat [migr_pop3ctb],,
Croatia,HRV,foreign_nationals,23276,"Croatian Bureau of Statistics, Census 2011",,,26259,Eurostat [migr_pop1ctz],,
Czech Republic,CZE,population,10496088,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",,,10505772,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",,
Czech Republic,CZE,foreign_born,387971,Eurostat [migr_pop3ctb],,,409220,Eurostat [migr_pop3ctb],,
Czech Republic,CZE,foreign_nationals,416737,Eurostat [migr_pop1ctz],,,488532,Eurostat [migr_pop1ctz],,
Denmark,DNK,population,5570572,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",,,5856733,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",,
Denmark,DNK,foreign_born,517230,Eurostat [migr_pop3ctb],,,721135,Eurostat [migr_pop3ctb],,
Denmark,DNK,foreign_nationals,345884,Eurostat [migr_pop1ctz],,,539443,Eurostat [migr_pop1ctz],,
Finland,FIN,population,5388272,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",,,5541017,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",,
Finland,FIN,foreign_born,243217,Eurostat [migr_pop3ctb],,,408676,Eurostat [migr_pop3ctb],,
Finland,FIN,foreign_nationals,166627,Eurostat [migr_pop1ctz],,,277217,Eurostat [migr_pop1ctz],,
France,FRA,population,65340830,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",,,67842811,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",,
France,FRA,foreign_born,7335966,Eurostat [migr_pop3ctb],,,8548924,Eurostat [migr_pop3ctb],,
France,FRA,foreign_nationals,3875096,Eurostat [migr_pop1ctz],,,5302510,Eurostat [migr_pop1ctz],,
