cell_id,iso3,country,year,variable,value,source_id,source_url,snapshot_source_url,retrieval_status,evidence_type,quality_code,local_path,evidence_href,downloadable_local,evidence_label,evidence_note
AUS:2010:year,AUS,Australia,2010,year,2010,PANEL,,,local_data,panel_record,P,data/panel_evidence.csv,data/panel_evidence.csv,True,local Panel evidence register,Year value comes from the copied Panel row; the evidence register is downloadable locally.
AUS:2010:population,AUS,Australia,2010,population,22031750,S0044,https://api.worldbank.org/v2/country/all/indicator/SP.POP.TOTL,https://api.worldbank.org/v2/country/all/indicator/SP.POP.TOTL,retrieved,local_snapshot,A,sources/S0044_api-worldbank-org_sp-pop-totl_d16897e92b17.xml,sources/S0044_api-worldbank-org_sp-pop-totl_d16897e92b17.xml,True,Reused the existing local snapshot from an earlier build.,Reused the existing local snapshot from an earlier build.
AUS:2010:foreign_born,AUS,Australia,2010,foreign_born,5881360,S0112,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/AUS.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/AUS.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions",retrieved,local_snapshot,A,sources/S0112_sdmx-oecd-org_aus-w-a-b14-t-z-z-ps_a3472957a756.json,sources/S0112_sdmx-oecd-org_aus-w-a-b14-t-z-z-ps_a3472957a756.json,True,Reused the existing local snapshot from an earlier build.,Reused the existing local snapshot from an earlier build.
AUS:2010:foreign_born_pct_pop,AUS,Australia,2010,foreign_born_pct_pop,0.2669492890941482,S0112,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/AUS.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/AUS.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions",retrieved,local_snapshot,A,sources/S0112_sdmx-oecd-org_aus-w-a-b14-t-z-z-ps_a3472957a756.json,sources/S0112_sdmx-oecd-org_aus-w-a-b14-t-z-z-ps_a3472957a756.json,True,Reused the existing local snapshot from an earlier build.,Reused the existing local snapshot from an earlier build.
AUS:2010:irregular_proxy_overstayers,AUS,Australia,2010,irregular_proxy_overstayers,53900,S0103,https://press-files.anu.edu.au/downloads/press/n4016/html/ch02.xhtml,https://press-files.anu.edu.au/downloads/press/n4016/html/ch02.xhtml,retrieved,local_snapshot,A,sources/S0103_press-files-anu-edu-au_ch02-xhtml_9c8dbf964644.html,sources/S0103_press-files-anu-edu-au_ch02-xhtml_9c8dbf964644.html,True,Reused the existing local snapshot from an earlier build.,Reused the existing local snapshot from an earlier build.
AUS:2011:year,AUS,Australia,2011,year,2011,PANEL,,,local_data,panel_record,P,data/panel_evidence.csv,data/panel_evidence.csv,True,local Panel evidence register,Year value comes from the copied Panel row; the evidence register is downloadable locally.
AUS:2011:population,AUS,Australia,2011,population,22340024,S0044,https://api.worldbank.org/v2/country/all/indicator/SP.POP.TOTL,https://api.worldbank.org/v2/country/all/indicator/SP.POP.TOTL,retrieved,local_snapshot,A,sources/S0044_api-worldbank-org_sp-pop-totl_d16897e92b17.xml,sources/S0044_api-worldbank-org_sp-pop-totl_d16897e92b17.xml,True,Reused the existing local snapshot from an earlier build.,Reused the existing local snapshot from an earlier build.
AUS:2011:foreign_born,AUS,Australia,2011,foreign_born,6018180,S0112,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/AUS.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/AUS.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions",retrieved,local_snapshot,A,sources/S0112_sdmx-oecd-org_aus-w-a-b14-t-z-z-ps_a3472957a756.json,sources/S0112_sdmx-oecd-org_aus-w-a-b14-t-z-z-ps_a3472957a756.json,True,Reused the existing local snapshot from an earlier build.,Reused the existing local snapshot from an earlier build.
AUS:2011:foreign_born_pct_pop,AUS,Australia,2011,foreign_born_pct_pop,0.2693900418370186,S0112,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/AUS.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/AUS.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions",retrieved,local_snapshot,A,sources/S0112_sdmx-oecd-org_aus-w-a-b14-t-z-z-ps_a3472957a756.json,sources/S0112_sdmx-oecd-org_aus-w-a-b14-t-z-z-ps_a3472957a756.json,True,Reused the existing local snapshot from an earlier build.,Reused the existing local snapshot from an earlier build.
AUS:2011:irregular_proxy_overstayers,AUS,Australia,2011,irregular_proxy_overstayers,58400,S0103,https://press-files.anu.edu.au/downloads/press/n4016/html/ch02.xhtml,https://press-files.anu.edu.au/downloads/press/n4016/html/ch02.xhtml,retrieved,local_snapshot,A,sources/S0103_press-files-anu-edu-au_ch02-xhtml_9c8dbf964644.html,sources/S0103_press-files-anu-edu-au_ch02-xhtml_9c8dbf964644.html,True,Reused the existing local snapshot from an earlier build.,Reused the existing local snapshot from an earlier build.
