Scope,Country,ISO3,Topic / variable(s),Years,Source name,Source URL,Local path,Status,HTTP,Bytes,Verification / notes
Country,Australia,AUS,population,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",https://api.worldbank.org/v2/country/all/indicator/SP.POP.TOTL,sources\001_SP.POP.TOTL_80953ad53b,downloaded,200,17637,"retrieved_reference_file_or_page Total resident population, mid-year estimate. Retrieved via World Bank API, August 2026."
Country,Australia,AUS,foreign_born,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022,"OECD International Migration Database (stocks of foreign-born population, measure B14)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/AUS.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions",sources\002_AUS.W.A.B14._T._Z._Z.PS_27eea11913,downloaded,200,7107,retrieved_api_or_data Overseas-born estimated resident population; reference date 30 June. OECD IMD series sourced from ABS.
Country,Australia,AUS,irregular_proxy_overstayers,2010;2011,"ANU Press, A Long Way to Go, Chapter 2, Table 2.3 Estimated size of irregular migrant populations by region/country",https://press-files.anu.edu.au/downloads/press/n4016/html/ch02.xhtml,sources\003_ch02.xhtml_3ed48725a3,downloaded,200,123993,"retrieved_reference_file_or_page estimated irregular migrant population of Australia (visa overstayers / unlawful non-citizens in the community) for 2010. Table 2.3 source note (l): 'Department of Immigration and Border Protection (DIBP) (2010).' The DIAC/DIBP overstayer estimate is published as at 30 June, but the ANU table states the year only and does not restate the within-year reference date. estimated irregular migrant population of Australia (visa overstayers / unlawful non-citizens in the community) for 2011. Table 2.3 source note (m): 'Australian National Audit Office (ANAO) (2013), p. 39.' The DIAC/DIBP overstayer estimate is published as at 30 June, but the ANU table states the year only and does not restate the within-year reference date."
Country,Australia,AUS,irregular_proxy_overstayers,2015,"Australian Department of Immigration and Border Protection (2016), Annual Report 2015-16, p.51",https://www.homeaffairs.gov.au/reports-and-pubs/Annualreports/dibp-annual-report-2015-16.pdf,sources\004_dibp-annual-report-2015-16.pdf_4e7f36e7dd,downloaded,200,3147781,retrieved_reference_file_or_page Unlawful non-citizens in the community at 30 June 2015. DIFFERENT MEASURE from the visa-overstayer estimates recorded for AUS 2010/2011/2016: 'unlawful non-citizens in the community' excludes people in immigration detention. Taken from an independently compiled comparison dataset; not independently re-verified.
Country,Australia,AUS,irregular_proxy_overstayers,2016,"Australian Department of Immigration and Border Protection, Senate Legal and Constitutional Affairs Committee, Budget Estimates Question on Notice BE17171",https://www.aph.gov.au/~/media/Committees/legcon_ctte/estimates/bud_1718/DIBP/QoNs/BE17171.pdf,,failed,403,0,not_retrieved Reference date 30 June 2016. Departmental estimate of unlawful non-citizens (visa overstayers) in the Australian community; register-derived estimate rather than a survey model. Download error: 遠端伺服器傳回一個錯誤: (403) 禁止。
Country,Australia,AUS,irregular_proxy_overstayers,2011,"Australian Department of Immigration and Citizenship (2012), Trends in Migration: Australia 2010-11, Table 11",https://www.homeaffairs.gov.au/research-and-stats/files/trends-in-migration-2010-11.pdf,sources\006_trends-in-migration-2010-11.pdf_8cc107fca6,downloaded,200,1963756,"retrieved_reference_file_or_page ALTERNATIVE ESTIMATE for 30 June 2011: official estimate of unlawful non-citizens, rounded, excluding people in immigration detention. This is a NARROWER measure than the 58,400 visa-overstayer figure also recorded for AUS 2011; the two are not contradictory. Taken from an independently compiled comparison dataset; not independently re-verified."
Country,Austria,AUT,population,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",https://api.worldbank.org/v2/country/all/indicator/SP.POP.TOTL,sources\001_SP.POP.TOTL_80953ad53b,downloaded,200,17637,"retrieved_reference_file_or_page Total resident population, mid-year estimate. Retrieved via World Bank API, August 2026."
Country,Austria,AUT,foreign_born,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022,Eurostat [migr_pop3ctb],https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_pop3ctb?format=JSON&lang=EN&geo=AT&age=TOTAL&sex=T&unit=NR&c_birth=FOR&sinceTimePeriod=2010&untilTimePeriod=2022,sources\002_migr_pop3ctb.json_783f66fe23,downloaded,200,3197,retrieved_api_or_data stock at 1 Jan; c_birth=FOR (born in a foreign country)
Country,Austria,AUT,foreign_nationals,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022,Eurostat [migr_pop1ctz],https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_pop1ctz?format=JSON&lang=EN&geo=AT&age=TOTAL&sex=T&unit=NR&citizen=FOR_STLS&sinceTimePeriod=2010&untilTimePeriod=2022,sources\003_migr_pop1ctz.json_6d940b2568,downloaded,200,3211,retrieved_api_or_data stock at 1 Jan; citizen=FOR_STLS (foreign citizens incl. stateless)
Country,Austria,AUT,irregular_proxy_detections,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022,"Eurostat, Third country nationals found to be illegally present (migr_eipre)",https://ec.europa.eu/eurostat/databrowser/view/migr_eipre/default/table,sources\004_table.html_197b34a1e6,downloaded,200,8630,"retrieved_reference_file_or_page Eurostat enforcement statistic - annual flow of detections, NOT a stock. Dataset migr_eipre, dimensions freq=A citizen=TOTAL reason=TOTAL apprehen=TOTAL sex=T age=TOTAL unit=PER. Rounded to nearest 5 by Eurostat."
Country,Austria,AUT,irregular_stock,2017,"Pew Research Center (2019), Europe's Unauthorized Immigrant Population Peaks in 2016, Then Levels Off",https://www.pewresearch.org/global/2019/11/13/europes-unauthorized-immigrant-population-peaks-in-2016-then-levels-off/,sources\005_europes-unauthorized-immigrant-population-peaks-in-2016-then-levels-off.html_a3fd290b66,downloaded,200,504541,"retrieved_reference_file_or_page Pew residual method (population/labour-force data minus lawfully resident foreign-born), estimate INCLUDES asylum seekers awaiting a decision; published range 100000-200000, value is the midpoint of the published range. Pew reports only rounded 100k bounds."
Country,Belgium,BEL,population,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",https://api.worldbank.org/v2/country/all/indicator/SP.POP.TOTL,sources\001_SP.POP.TOTL_80953ad53b,downloaded,200,17637,"retrieved_reference_file_or_page Total resident population, mid-year estimate. Retrieved via World Bank API, August 2026."
Country,Belgium,BEL,foreign_born,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022,Eurostat [migr_pop3ctb],https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_pop3ctb?format=JSON&lang=EN&geo=BE&age=TOTAL&sex=T&unit=NR&c_birth=FOR&sinceTimePeriod=2010&untilTimePeriod=2022,sources\002_migr_pop3ctb.json_f39aa78d30,downloaded,200,3290,retrieved_api_or_data stock at 1 Jan; c_birth=FOR (born in a foreign country)
Country,Belgium,BEL,foreign_nationals,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022,Eurostat [migr_pop1ctz],https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_pop1ctz?format=JSON&lang=EN&geo=BE&age=TOTAL&sex=T&unit=NR&citizen=FOR_STLS&sinceTimePeriod=2010&untilTimePeriod=2022,sources\003_migr_pop1ctz.json_a6c788d204,downloaded,200,3308,retrieved_api_or_data stock at 1 Jan; citizen=FOR_STLS (foreign citizens incl. stateless)
