source_id,source_name,countries,topics,years,original_status,retrieval_status,http_status,bytes,content_type,snapshot_path,snapshot_sha256,retrieved_at,tls_verification,error,source_url
S0001,"World Bank API, country-filtered",Australia,population (WDI),2010–2022,downloaded,retrieved,200,2666,application/json;charset=utf-8,sources/S0001_api-worldbank-org_sp-pop-totl_0d971a13d750.json,94a0501fcccf9c1818010b504bb88f57a3a0a6ebd1d6f5512409681ac22c2deb,2026-08-17,unverified_local_proxy,,https://api.worldbank.org/v2/country/AUS/indicator/SP.POP.TOTL?format=json&date=2010:2022&per_page=100
S0002,"World Bank API, country-filtered",Austria,population (WDI),2010–2022,downloaded,retrieved,200,2627,application/json;charset=utf-8,sources/S0002_api-worldbank-org_sp-pop-totl_dedef1395e6c.json,138c3e4e4d7aed05dfad907b3552126cc448a0f49880e249bf23bb880d3239e4,2026-08-17,unverified_local_proxy,,https://api.worldbank.org/v2/country/AUT/indicator/SP.POP.TOTL?format=json&date=2010:2022&per_page=100
S0003,"World Bank API, country-filtered",Belgium,population (WDI),2010–2022,downloaded,retrieved,200,2640,application/json;charset=utf-8,sources/S0003_api-worldbank-org_sp-pop-totl_4566403b89fa.json,7f4f6a272d01c2ab3d38afc04013b55743f8a698977fb9c5146872850ea98d34,2026-08-17,unverified_local_proxy,,https://api.worldbank.org/v2/country/BEL/indicator/SP.POP.TOTL?format=json&date=2010:2022&per_page=100
S0004,"World Bank API, country-filtered",Bulgaria,population (WDI),2010–2022,downloaded,retrieved,200,2640,application/json;charset=utf-8,sources/S0004_api-worldbank-org_sp-pop-totl_1a324d69d84f.json,53010c21c68daf48a5913026e23bc405ce3d3f7bb97d6c9aa465e70416d90768,2026-08-17,unverified_local_proxy,,https://api.worldbank.org/v2/country/BGR/indicator/SP.POP.TOTL?format=json&date=2010:2022&per_page=100
S0005,"World Bank API, country-filtered",Switzerland,population (WDI),2010–2022,downloaded,retrieved,200,2679,application/json;charset=utf-8,sources/S0005_api-worldbank-org_sp-pop-totl_c62fae7b9848.json,0bdbc198d35be9cb0ce31535f0ad7a1cbfb6b228335ee6a66789b00df5f0c62c,2026-08-17,unverified_local_proxy,,https://api.worldbank.org/v2/country/CHE/indicator/SP.POP.TOTL?format=json&date=2010:2022&per_page=100
S0006,"World Bank API, country-filtered",Chile,population (WDI),2010–2022,downloaded,retrieved,200,2614,application/json;charset=utf-8,sources/S0006_api-worldbank-org_sp-pop-totl_5537d1899453.json,53975ede106f0668a9a570cbb17350468ad9d22af9c1e7886fa7d878a8fc34d1,2026-08-17,unverified_local_proxy,,https://api.worldbank.org/v2/country/CHL/indicator/SP.POP.TOTL?format=json&date=2010:2022&per_page=100
S0007,"World Bank API, country-filtered",China,population (WDI),2010–2022,downloaded,retrieved,200,2640,application/json;charset=utf-8,sources/S0007_api-worldbank-org_sp-pop-totl_5c944cfae1ed.json,a74936e07531fbd5030bd422a8f709f9c65327fa1281f4cd5038d862faa7427c,2026-08-17,unverified_local_proxy,,https://api.worldbank.org/v2/country/CHN/indicator/SP.POP.TOTL?format=json&date=2010:2022&per_page=100
S0008,UN DESA International Migrant Stock (World Bank indicator SM.POP.TOTL),China; India; Philippines; Russia; South Africa; Suriname; Thailand,foreign_born,2010;2015;2020,downloaded,retrieved,200,19399,application/json;charset=utf-8,sources/S0008_api-worldbank-org_sm-pop-totl_6f7d79d79ceb.json,22ba297c1d5a618177845c7656206697cbe223ddd6521b6630ea44ceeabdf0eb,2026-08-17,unverified_local_proxy,,https://api.worldbank.org/v2/country/CHN;IND;PHL;RUS;ZAF;SUR;THA/indicator/SM.POP.TOTL?format=json&date=2010:2022&per_page=200
S0009,"World Bank API, country-filtered",Czech Republic,population (WDI),2010–2022,downloaded,retrieved,200,2640,application/json;charset=utf-8,sources/S0009_api-worldbank-org_sp-pop-totl_9b0ace7bdfbb.json,cef5910fd8bedec39129793bcab62c5afdb98910c745b4ac1f1281360f6ebbf6,2026-08-17,unverified_local_proxy,,https://api.worldbank.org/v2/country/CZE/indicator/SP.POP.TOTL?format=json&date=2010:2022&per_page=100
S0010,"World Bank API, country-filtered",Germany,population (WDI),2010–2022,downloaded,retrieved,200,2640,application/json;charset=utf-8,sources/S0010_api-worldbank-org_sp-pop-totl_d52b8591f007.json,b5f2e14ffb3a8dad7098bb569f13a4c37fc17949c0edf0c0833521b46aa61641,2026-08-17,unverified_local_proxy,,https://api.worldbank.org/v2/country/DEU/indicator/SP.POP.TOTL?format=json&date=2010:2022&per_page=100
